iter	RMSE
214	0.127595404
215	0.1273837346
216	0.1272347389
217	0.1271048887
218	0.126920767
219	0.126693742
220	0.1264660537
221	0.1264073532
222	0.1260859967
223	0.1259582652
224	0.1258395398
225	0.125652278
226	0.1255072664
227	0.1251799943
228	0.1248853707
229	0.1247967695
230	0.1245160153
231	0.1243175469
232	0.1239106618
233	0.12370892
234	0.1235800101
235	0.1233751473
236	0.1231209585
237	0.1228809523
238	0.1227365919
239	0.122389981
240	0.1221740968
241	0.1220536003
242	0.1218696567
243	0.1217968565
244	0.121604592
245	0.1214459357
246	0.1213043822
247	0.1209746642
248	0.1206824506
249	0.1204361109
250	0.1202451505
251	0.120093034
252	0.1198468718
253	0.1197183492
254	0.1196381814
255	0.1194078175
256	0.1192493886
257	0.1190788857
258	0.1189098577
259	0.1187092789
260	0.1185238317
261	0.1183448434
262	0.1182229168
263	0.1180139751
264	0.1178595029
265	0.1177258487
266	0.1175248002
267	0.1172937533
268	0.1172586737
269	0.1171200508
270	0.1170282716
271	0.1168107359
272	0.1165504535
273	0.1163081906
274	0.1161579237
275	0.1159033547
276	0.1157170679
277	0.1155454937
278	0.1154693325
279	0.1152424533
280	0.1149698731
281	0.114757511
282	0.1146104254
283	0.1145215865
284	0.1144170255
285	0.1142079662
286	0.1139835234
287	0.1138187297
288	0.1136951076
289	0.1134950005
290	0.1131994747
291	0.1130280644
292	0.1127826159
293	0.1126949774
294	0.1125381288
295	0.1122911093
296	0.1120009128
297	0.111806871
298	0.1116903053
299	0.1114964749
300	0.1114019956
301	0.1111886356
302	0.1109792332
303	0.1108073417
304	0.1106702291
305	0.1105372766
306	0.1104438669
307	0.1103741126
308	0.1101825135
309	0.1099925847
310	0.10987292
311	0.1096549419
312	0.1096241218
313	0.1095746664
314	0.1094261968
315	0.1092496824
316	0.109176253
317	0.1090041301
318	0.10895096
319	0.1088955458
320	0.108754173
321	0.1086737709
322	0.10853929
323	0.1083197241
324	0.1081887217
325	0.1081530824
326	0.10799993
327	0.1077029908
328	0.1074652539
329	0.1073230041
330	0.1072988236
331	0.1072396177
332	0.1071925183
333	0.1069964712
334	0.1068967274
335	0.1068156423
336	0.106651382
337	0.1064857712
338	0.1064269258
339	0.1063948977
340	0.1062344638
341	0.1060663624
342	0.1060211961
343	0.105967008
344	0.1057998874
345	0.1055791667
346	0.1053837108
347	0.105266127
348	0.1052504952
349	0.1050415685
350	0.1049729905
351	0.1047797806
352	0.1047616216
353	0.104714336
354	0.1046615401
355	0.1046428454
356	0.1045114314
357	0.1044655023
358	0.1044100165
359	0.1043664283
360	0.1042951967
361	0.1042483226
362	0.104072713
363	0.103946371
364	0.103909308
365	0.1038912602
366	0.1038738144
367	0.103696452
368	0.10353674
369	0.1034061236
370	0.1032702692
371	0.1030746841
372	0.1029405758
373	0.1028845881
374	0.1028402657
375	0.1028244612
376	0.1026720903
377	0.1026350603
378	0.1024990033
379	0.1023226706
380	0.1022786861
381	0.1022627438
382	0.1020596493
383	0.1020237279
384	0.1019092931
385	0.1018831543
386	0.10165862
387	0.1016196155
388	0.1015296224
389	0.1014935069
390	0.1012690869
391	0.1012219686
392	0.1011002674
393	0.1010804419
394	0.1009451154
395	0.1009079252
396	0.1008092981
397	0.1006863522
398	0.1005479963
399	0.1004552977
400	0.1003139202
401	0.1002824984
402	0.1001796766
403	0.1000373621
404	0.09994950378
405	0.09978549194
406	0.09962571763
407	0.09946491782
408	0.09936959522
409	0.09925638552
410	0.09913608212
411	0.09911527026
412	0.09907028886
413	0.09894678021
414	0.09885548861
415	0.09883791443
416	0.098700796
417	0.09863779892
418	0.09852576372
419	0.09839764031
420	0.09833503208
421	0.09822541536
422	0.09815257722
423	0.09803535854
424	0.09788648685
425	0.09775702106
426	0.09761262958
427	0.097455683
428	0.09731857463
429	0.09730769036
430	0.09716277875
431	0.09697944768
432	0.09680752369
433	0.09678217346
434	0.09668798493
435	0.09654393516
436	0.09636687425
437	0.09624573403
438	0.09612600282
439	0.09604016137
440	0.09587010351
441	0.09583541032
442	0.09582010713
443	0.095789961
444	0.0957633919
445	0.09569725208
446	0.0956589546
447	0.09556901686
448	0.09548928128
449	0.09537684484
450	0.09524961327
451	0.09517702951
452	0.09515901213
453	0.0950430657
454	0.09491399355
455	0.09482448458
456	0.09480239706
457	0.09470443431
458	0.09459886726
459	0.09453307714
460	0.09452056952
461	0.09438698728
462	0.09437458555
463	0.09436294547
464	0.0942594667
465	0.09418867775
466	0.09406550789
467	0.09396329843
468	0.09393379792
469	0.09383519321
470	0.09381717001
471	0.09380505679
472	0.09375621324
473	0.09374422986
474	0.09365908546
475	0.09364949162
476	0.09347864785
477	0.09346631761
478	0.0932341201
479	0.09313662783
480	0.09303212445
481	0.09282486777
482	0.09278837739
483	0.09277885937
484	0.09276385931
485	0.09258883221
486	0.092465072
487	0.09232945269
488	0.09230018606
489	0.09226993777
490	0.09220377185
491	0.09209989098
492	0.09196387675
493	0.09195568574
494	0.09188615229
495	0.0918600765
496	0.09177296076
497	0.0916722474
498	0.0915985763
499	0.0915875111
500	0.09151758368
501	0.091402966
502	0.09131017694
503	0.09121530424
504	0.09119752887
505	0.0910903192
506	0.09097491255
507	0.09087734397
508	0.09083329527
509	0.09080847781
510	0.09079541695
511	0.09067326732
512	0.09057962185
513	0.09054563555
514	0.09053738367
515	0.09045821018
516	0.09034461461
517	0.09028048859
518	0.0902197428
519	0.09014626568
520	0.09003904936
521	0.08993339059
522	0.08982399409
523	0.08970132266
524	0.08969105119
525	0.08959941449
526	0.08957637418
527	0.08955321956
528	0.08946931492
529	0.08935515389
530	0.08933006753
531	0.08923972935
532	0.08918105656
533	0.08908008125
534	0.08896332349
535	0.08885628147
536	0.08879393281
537	0.08870996478
538	0.08862078417
539	0.08861149921
540	0.08851199179
541	0.08849059793
542	0.08840414704
543	0.08831426993
544	0.08826413333
545	0.08824938395
546	0.08816176343
547	0.08809666645
548	0.08803227606
549	0.08802260608
550	0.08800601057
551	0.08792684814
552	0.08790779768
553	0.08782598262
554	0.08776379542
555	0.087674832
556	0.08763378864
557	0.08753243603
558	0.08743166229
559	0.0874134262
560	0.0873102513
561	0.08729260127
562	0.08722257343
563	0.08709580543
564	0.08708485019
565	0.08707416617
566	0.0870176079
567	0.08690510635
568	0.08684555087
569	0.08673418304
570	0.08664785035
571	0.0865751773
572	0.08648696746
573	0.08637695958
574	0.08629684655
575	0.08628042706
576	0.08623141851
577	0.08622390821
578	0.08613620752
579	0.08612593335
580	0.08601593709
581	0.08599845711
582	0.08597974465
583	0.08588246984
584	0.08581428549
585	0.08579838234
586	0.08570156047
587	0.08562936295
588	0.08554789083
589	0.08546306622
590	0.08543215042
591	0.08542224237
592	0.08540290477
593	0.08534201726
